,Date,Low,High,Close,Open
2595,2015-04-13,880.4603,895.2647,889.6414,892.8547
2594,2015-04-10,873.7582,896.5271,895.15,874.4927
2593,2015-04-09,864.3935,875.4108,872.1974,873.1155
2592,2015-04-08,866.2297,878.3946,866.6888,872.1974
2591,2015-04-07,868.9841,876.3289,874.0336,871.7384
2590,2015-04-02,862.3844,873.345,866.2297,869.9022
2589,2015-04-01,858.6448,878.5094,872.1974,861.6392
2588,2015-03-31,874.4927,892.3957,874.9517,880.4603
2587,2015-03-30,872.1974,889.6414,882.7556,878.1651
2586,2015-03-27,867.1478,891.0185,869.9022,881.8375
2585,2015-03-26,880.1526,899.7405,883.2146,892.8547
2584,2015-03-25,896.5271,910.4763,900.6586,907.0853
2583,2015-03-24,900.6586,917.1844,907.5444,905.7082
2582,2015-03-23,897.9043,912.1349,906.1672,906.1672
2581,2015-03-20,895.15,908.9215,906.6263,902.0357
2580,2015-03-19,900.6586,913.053,902.0357,906.6263
2579,2015-03-18,885.5788,905.2491,903.4129,885.9689
2578,2015-03-17,845.6476,896.114,887.3461,890.5595
2577,2015-03-16,881.8375,893.3138,891.0185,892.8547
2576,2015-03-13,883.2146,897.4452,890.1004,894.2319
2575,2015-03-12,887.8052,919.9387,890.5595,899.7405
2574,2015-03-11,891.0185,899.6257,896.0681,893.7728
2573,2015-03-10,893.3138,918.3321,893.3138,909.3806
2572,2015-03-09,901.5767,919.2502,913.9711,902.4948
2571,2015-03-06,901.6455,916.3581,906.1672,902.0357
2570,2015-03-05,874.6074,907.5444,904.331,876.7879
2569,2015-03-04,859.803,873.5057,872.1974,859.803
2568,2015-03-03,853.3763,870.8203,860.2621,857.5078
2567,2015-03-02,854.2944,872.1974,857.9668,869.4431
2566,2015-02-27,860.2621,880.0013,871.2793,864.8526
2565,2015-02-26,859.803,869.8012,866.2297,860.7211
2564,2015-02-25,856.5897,868.2975,862.0983,860.7211
2563,2015-02-24,854.2944,872.1974,859.803,872.1974
2562,2015-02-23,869.4431,883.0127,872.1974,881.8375
2561,2015-02-20,874.9517,885.0508,877.706,876.7879
2560,2015-02-19,861.4097,890.5595,883.2146,872.1974
2559,2015-02-18,840.1556,859.803,857.9668,847.4086
